participant,date,score,index,system,question,name
YZY,2021/07/24 10:23:20 PM OEZ,1,14,C2T_char,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,2,7,T2T+pg,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,2,7,T2T+pg,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,3,7,T2T+pg,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,4,7,T2T+pg,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,2,14,T2T+pg+cv,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,5,14,T2T+pg+cv,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,1,14,T2T+pg+cv,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,4,14,T2T+pg+cv,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,2,4,T2T+pg+cv,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,5,4,T2T+pg+cv,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,2,4,T2T+pg+cv,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,5,4,T2T+pg+cv,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,1,23,T2T+pg,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,2,23,T2T+pg,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,1,23,T2T+pg,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,5,23,T2T+pg,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,3,21,C2T_char,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,5,21,C2T_char,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,3,21,C2T_char,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,5,21,C2T_char,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,2,28,T2T+pg,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,4,28,T2T+pg,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,3,28,T2T+pg,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,5,28,T2T+pg,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,5,17,Reference,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,4,17,Reference,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,4,17,Reference,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,5,17,Reference,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,2,23,C2T+pg,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,5,23,C2T+pg,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,2,23,C2T+pg,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,5,23,C2T+pg,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,3,21,C2T+pg,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,3,21,C2T+pg,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,4,21,C2T+pg,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,2,21,C2T+pg,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,3,23,C2T_char,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,2,23,C2T_char,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,2,23,C2T_char,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,5,23,C2T_char,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,23,T2T+pg+cv,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,5,23,T2T+pg+cv,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,1,23,T2T+pg+cv,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,5,23,T2T+pg+cv,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,15,C2T+pg,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,5,15,C2T+pg,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,2,15,C2T+pg,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,5,15,C2T+pg,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,25,C2T+pg,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,5,25,C2T+pg,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,5,25,C2T+pg,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,5,25,C2T+pg,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,30,T2T+pg+cv,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,5,30,T2T+pg+cv,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,1,30,T2T+pg+cv,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,4,30,T2T+pg+cv,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,4,C2T,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,3,4,C2T,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,1,4,C2T,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,4,4,C2T,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,4,T2T+pg,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,2,4,T2T+pg,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,1,4,T2T+pg,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,2,4,T2T+pg,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,20,C2T_char,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,5,20,C2T_char,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,3,20,C2T_char,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,4,20,C2T_char,4,grammar
JN,2021/07/25 2:23:51 AM OEZ,4,19,C2T,1,covererage
JN,2021/07/25 2:23:51 AM OEZ,3,19,C2T,2,redundancy
JN,2021/07/25 2:23:51 AM OEZ,1,19,C2T,3,semantic
JN,2021/07/25 2:23:51 AM OEZ,2,19,C2T,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,2,5,T2T+pg+cv,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,5,5,T2T+pg+cv,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,2,5,T2T+pg+cv,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,3,5,T2T+pg+cv,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,2,18,C2T_char,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,1,18,C2T_char,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,3,18,C2T_char,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,18,C2T_char,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,3,6,Reference,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,5,6,Reference,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,5,6,Reference,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,6,Reference,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,4,21,C2T+pg+cv,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,5,21,C2T+pg+cv,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,5,21,C2T+pg+cv,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,21,C2T+pg+cv,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,2,3,T2T+pg,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,5,3,T2T+pg,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,2,3,T2T+pg,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,3,T2T+pg,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,4,9,C2T+pg+cv,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,5,9,C2T+pg+cv,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,5,9,C2T+pg+cv,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,9,C2T+pg+cv,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,4,23,C2T+pg+cv,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,5,23,C2T+pg+cv,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,4,23,C2T+pg+cv,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,23,C2T+pg+cv,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,3,26,T2T+pg+cv,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,4,26,T2T+pg+cv,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,2,26,T2T+pg+cv,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,26,T2T+pg+cv,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,4,28,Reference,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,4,28,Reference,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,5,28,Reference,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,5,28,Reference,4,grammar
TRC,2021/07/25 10:59:57 AM OEZ,1,9,Reference,1,covererage
TRC,2021/07/25 10:59:57 AM OEZ,1,9,Reference,2,redundancy
TRC,2021/07/25 10:59:57 AM OEZ,1,9,Reference,3,semantic
TRC,2021/07/25 10:59:57 AM OEZ,1,9,Reference,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,5,22,C2T_char,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,5,22,C2T_char,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,5,22,C2T_char,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,4,22,C2T_char,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,5,18,C2T,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,5,18,C2T,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,5,18,C2T,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,4,18,C2T,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,5,29,C2T+pg+cv,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,5,29,C2T+pg+cv,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,5,29,C2T+pg+cv,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,5,29,C2T+pg+cv,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,5,30,C2T+pg+cv,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,5,30,C2T+pg+cv,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,5,30,C2T+pg+cv,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,4,30,C2T+pg+cv,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,3,14,T2T+pg,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,5,14,T2T+pg,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,3,14,T2T+pg,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,4,14,T2T+pg,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,4,13,Reference,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,4,13,Reference,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,5,13,Reference,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,4,13,Reference,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,5,21,C2T,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,5,21,C2T,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,5,21,C2T,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,5,21,C2T,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,5,24,T2T+pg+cv,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,5,24,T2T+pg+cv,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,5,24,T2T+pg+cv,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,5,24,T2T+pg+cv,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,2,9,C2T_char,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,1,9,C2T_char,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,3,9,C2T_char,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,3,9,C2T_char,4,grammar
SR,2021/07/25 1:31:41 PM OEZ,3,11,C2T_char,1,covererage
SR,2021/07/25 1:31:41 PM OEZ,2,11,C2T_char,2,redundancy
SR,2021/07/25 1:31:41 PM OEZ,4,11,C2T_char,3,semantic
SR,2021/07/25 1:31:41 PM OEZ,4,11,C2T_char,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,1,30,C2T_char,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,1,30,C2T_char,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,2,30,C2T_char,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,2,30,C2T_char,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,3,15,T2T+pg+cv,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,3,15,T2T+pg+cv,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,2,15,T2T+pg+cv,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,4,15,T2T+pg+cv,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,2,6,C2T+pg,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,2,6,C2T+pg,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,2,6,C2T+pg,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,4,6,C2T+pg,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,2,15,C2T_char,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,2,15,C2T_char,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,2,15,C2T_char,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,3,15,C2T_char,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,1,3,C2T_char,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,1,3,C2T_char,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,2,3,C2T_char,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,1,3,C2T_char,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,1,29,C2T_char,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,2,29,C2T_char,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,1,29,C2T_char,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,1,29,C2T_char,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,2,30,C2T,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,2,30,C2T,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,1,30,C2T,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,2,30,C2T,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,1,8,C2T_char,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,1,8,C2T_char,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,1,8,C2T_char,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,1,8,C2T_char,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,1,9,C2T+pg,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,5,9,C2T+pg,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,2,9,C2T+pg,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,4,9,C2T+pg,4,grammar
ZTY,2021/07/25 2:53:31 PM OEZ,2,15,C2T,1,covererage
ZTY,2021/07/25 2:53:31 PM OEZ,4,15,C2T,2,redundancy
ZTY,2021/07/25 2:53:31 PM OEZ,4,15,C2T,3,semantic
ZTY,2021/07/25 2:53:31 PM OEZ,4,15,C2T,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,4,9,T2T+pg+cv,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,3,9,T2T+pg+cv,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,5,9,T2T+pg+cv,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,5,9,T2T+pg+cv,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,5,26,C2T_char,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,4,26,C2T_char,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,4,26,C2T_char,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,5,26,C2T_char,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,4,2,T2T+pg+cv,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,3,2,T2T+pg+cv,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,5,2,T2T+pg+cv,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,5,2,T2T+pg+cv,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,5,5,C2T+pg+cv,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,5,5,C2T+pg+cv,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,5,5,C2T+pg+cv,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,5,5,C2T+pg+cv,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,4,17,C2T_char,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,3,17,C2T_char,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,4,17,C2T_char,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,3,17,C2T_char,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,5,16,Reference,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,5,16,Reference,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,5,16,Reference,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,5,16,Reference,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,4,5,Reference,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,4,5,Reference,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,5,5,Reference,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,4,5,Reference,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,5,27,T2T+pg+cv,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,4,27,T2T+pg+cv,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,4,27,T2T+pg+cv,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,4,27,T2T+pg+cv,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,5,8,Reference,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,3,8,Reference,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,5,8,Reference,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,5,8,Reference,4,grammar
JBY,2021/07/25 5:04:50 PM OEZ,5,28,C2T_char,1,covererage
JBY,2021/07/25 5:04:50 PM OEZ,3,28,C2T_char,2,redundancy
JBY,2021/07/25 5:04:50 PM OEZ,3,28,C2T_char,3,semantic
JBY,2021/07/25 5:04:50 PM OEZ,5,28,C2T_char,4,grammar
CY,2021/07/25 8:05:23 PM OEZ,2,16,T2T+pg+cv,1,covererage
CY,2021/07/25 8:05:23 PM OEZ,4,16,T2T+pg+cv,2,redundancy
CY,2021/07/25 8:05:23 PM OEZ,2,16,T2T+pg+cv,3,semantic
CY,2021/07/25 8:05:23 PM OEZ,4,16,T2T+pg+cv,4,grammar
CY,2021/07/25 8:05:23 PM OEZ,2,26,C2T+pg,1,covererage
CY,2021/07/25 8:05:23 PM OEZ,4,26,C2T+pg,2,redundancy
CY,2021/07/25 8:05:23 PM OEZ,1,26,C2T+pg,3,semantic
CY,2021/07/25 8:05:23 PM OEZ,4,26,C2T+pg,4,grammar
CY,2021/07/25 8:05:23 PM OEZ,2,23,C2T,1,covererage
CY,2021/07/25 8:05:23 PM OEZ,4,23,C2T,2,redundancy
CY,2021/07/25 8:05:23 PM OEZ,2,23,C2T,3,semantic
CY,2021/07/25 8:05:23 PM OEZ,3,23,C2T,4,grammar
CY,2021/07/25 8:05:23 PM OEZ,2,8,C2T+pg+cv,1,covererage
CY,2021/07/25 8:05:23 PM OEZ,1,8,C2T+pg+cv,2,redundancy
CY,2021/07/25 8:05:23 PM OEZ,2,8,C2T+pg+cv,3,semantic
CY,2021/07/25 8:05:23 PM OEZ,1,8,C2T+pg+cv,4,grammar
CY,2021/07/25 8:05:23 PM OEZ,2,14,Reference,1,covererage
CY,2021/07/25 8:05:23 PM OEZ,3,14,Reference,2,redundancy
CY,2021/07/25 8:05:23 PM OEZ,2,14,Reference,3,semantic
CY,2021/07/25 8:05:23 PM OEZ,4,14,Reference,4,grammar
CY,2021/07/25 8:05:23 PM OEZ,2,12,Reference,1,covererage
CY,2021/07/25 8:05:23 PM OEZ,4,12,Reference,2,redundancy
CY,2021/07/25 8:05:23 PM OEZ,2,12,Reference,3,semantic
